clue_id,player_id,answer
6334,214,Who was John Jay?
6360,213,Who is Elcott?
6370,213,What is Hershey?
6371,215,What is Legal Signature?
6372,216,Who is Harriet Beecher Stowe?
6381,216,What is completely?
6397,215,What are the salt flats?
6398,213,What is Germany?
6404,213,What is pine?
6428,218,Who is the fugitive?
6429,217,"What is, uh, Oliver Twist?"
6430,217,What is... fruit punch?
6433,217,Um... [shakes head] I dunno.
6453,217,What is the United Nations?
6460,217,What is Gulf of Bothnia?
6467,213,Who is Hearst?
6474,219,What is a nurse?
6481,220,What was 1938?
6483,219,What is Elvis Presley's death?
6483,220,What is the death of Elvis Presley's mother?
6489,219,Who is John XXIII?
6499,219,What is Fantastic Voyage?
6516,219,What is angelic?
6522,218,Who is Harlan Ellison?
6528,220,What is S-O-P-H-I-S-T-R-Y?
6530,218,What is  peritoneal?
6536,221,What is the esophagus?
6547,218,What is Sea?
6557,222,What is Uruguay?
6557,221,What is Bolivia?
6559,221,What is CRT?
6568,222,Who is Robert Merrill?
6573,218,What is Maryland?
6579,221,What is Tennessee?
6583,218,What is Road To Morocco?
6583,221,What is Road To Bali?
6592,218,What's a porch?
6596,224,What is Savannah?
6599,223,Who is Ashley Montagu?
6604,223,What is a cross?
6605,223,Who is Kim Philby?
6614,218,What is Zaneville?
6614,223,What is Zane?
6632,218,Who was Enver Hoxha?
6644,223,What is salt?
6656,166,What has to be liver?
6656,169,What is yogurt?
6666,169,What is freeze?
6667,169,Who is Dwight Eisenhower?
6679,166,What's a Fandango?
6679,161,What's the Flamingo?
6679,169,What's the Flamenco? - you have it written there; we don't know!
